File,IPC,Accuracy,MPKI
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-drrip-1core.txt,0.657527,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-lru-1core.txt,0.662919,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-mru-1core.txt,0.654769,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-random-1core.txt,0.652453,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-ship-1core.txt,0.669319,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-srrip-1core.txt,0.652444,96.343%,5.7229
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-drrip-1core.txt,0.674972,97.2793%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-lru-1core.txt,0.680656,97.2793%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-mru-1core.txt,0.672808,97.2792%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-random-1core.txt,0.669864,97.2793%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-ship-1core.txt,0.686543,97.2793%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-bimodal-no-no-no-no-srrip-1core.txt,0.66972,97.2793%,4.2577
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-drrip-1core.txt,0.678109,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-lru-1core.txt,0.683778,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-mru-1core.txt,0.675552,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-random-1core.txt,0.672884,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-ship-1core.txt,0.69185,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-gshare-no-no-no-no-srrip-1core.txt,0.672816,97.4742%,3.9527
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-drrip-1core.txt,0.694882,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-lru-1core.txt,0.700915,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-mru-1core.txt,0.692376,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-random-1core.txt,0.689619,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-ship-1core.txt,0.707918,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-hashed_perceptron-no-no-no-no-srrip-1core.txt,0.689205,98.3304%,2.6127
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-drrip-1core.txt,0.657714,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-lru-1core.txt,0.662923,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-mru-1core.txt,0.654772,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-random-1core.txt,0.652457,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-ship-1core.txt,0.66862,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-modified_bullseye-no-no-no-no-srrip-1core.txt,0.652448,96.3433%,5.7224
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-drrip-1core.txt,0.693845,98.1259%,2.9328
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-lru-1core.txt,0.698224,98.1259%,2.9328
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-mru-1core.txt,0.689621,98.1259%,2.9328
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-random-1core.txt,0.6869,98.1259%,2.9328
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-ship-1core.txt,0.703877,98.1259%,2.9328
results_10M/401.bzip2-277B.champsimtrace.xz-perceptron-no-no-no-no-srrip-1core.txt,0.686519,98.1259%,2.9328
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-drrip-1core.txt,1.16564,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-lru-1core.txt,1.17287,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-mru-1core.txt,1.17144,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-random-1core.txt,1.16145,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-ship-1core.txt,1.17235,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-adaptive_bullseye-no-no-no-no-srrip-1core.txt,1.17264,99.6836%,0.6232
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-drrip-1core.txt,1.1637,99.5671%,0.8526
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-lru-1core.txt,1.16792,99.5671%,0.8526
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-mru-1core.txt,1.1666,99.5671%,0.8526
results_10M/403.gcc-16B.champsimtrace.xz-bimodal-no-no-no-no-random-1core.txt,1.15738,99.5671%,0.8526
